,Players,1R_W,2R_W,3R_W,4R_W,QF_W,SF_W,F_W
144,Hoang A.,1.0,1.0,0.0,0.0,0.0,0.0,0.0
145,Korda S.,2.0,2.0,1.0,0.0,0.0,0.0,0.0
146,Sinner J.,3.0,3.0,3.0,1.0,0.0,0.0,0.0
147,Coria F.,2.0,1.0,0.0,0.0,0.0,0.0,0.0
148,Rodionov J.,1.0,0.0,0.0,0.0,0.0,0.0,0.0
149,Travaglia S.,1.0,1.0,0.0,0.0,0.0,0.0,0.0
150,Gombos N.,1.0,1.0,0.0,0.0,0.0,0.0,0.0
151,Koepfer D.,2.0,1.0,0.0,0.0,0.0,0.0,0.0
152,Gaston H.,2.0,2.0,1.0,0.0,0.0,0.0,0.0
153,Martinez P.,2.0,1.0,0.0,0.0,0.0,0.0,0.0
154,Sonego L.,2.0,2.0,1.0,0.0,0.0,0.0,0.0
155,Paul T.,2.0,0.0,0.0,0.0,0.0,0.0,0.0
156,Mcdonald M.,3.0,1.0,0.0,0.0,0.0,0.0,0.0
157,Giustino L.,1.0,0.0,0.0,0.0,0.0,0.0,0.0
158,Milojevic N.,1.0,0.0,0.0,0.0,0.0,0.0,0.0
159,Sandgren T.,1.0,0.0,0.0,0.0,0.0,0.0,0.0
160,Galan D.,1.0,1.0,0.0,0.0,0.0,0.0,0.0
161,Altmaier D.,1.0,1.0,1.0,0.0,0.0,0.0,0.0
162,Polmans M.,1.0,0.0,0.0,0.0,0.0,0.0,0.0
163,Davidovich Fokina A.,2.0,1.0,1.0,1.0,0.0,0.0,0.0
164,Berankis R.,2.0,1.0,0.0,0.0,0.0,0.0,0.0
165,Giron M.,2.0,1.0,0.0,0.0,0.0,0.0,0.0
166,Rublev A.,2.0,2.0,2.0,2.0,0.0,0.0,0.0
167,Balazs A.,1.0,0.0,0.0,0.0,0.0,0.0,0.0
168,Couacaud E.,1.0,0.0,0.0,0.0,0.0,0.0,0.0
169,Andujar P.,1.0,0.0,0.0,0.0,0.0,0.0,0.0
170,Safiullin R.,1.0,0.0,0.0,0.0,0.0,0.0,0.0
171,Van De Zandschulp B.,2.0,1.0,0.0,0.0,0.0,0.0,0.0
172,Mager G.,1.0,0.0,0.0,0.0,0.0,0.0,0.0
173,Medvedev D.,2.0,2.0,2.0,1.0,0.0,0.0,0.0
174,Opelka R.,1.0,1.0,0.0,0.0,0.0,0.0,0.0
175,Alcaraz C.,2.0,2.0,1.0,1.0,0.0,0.0,0.0
176,Majchrzak K.,1.0,0.0,0.0,0.0,0.0,0.0,0.0
177,Musetti L.,1.0,1.0,1.0,0.0,0.0,0.0,0.0
178,Karatsev A.,1.0,0.0,0.0,0.0,0.0,0.0,0.0
179,Duckworth J.,1.0,0.0,0.0,0.0,0.0,0.0,0.0
180,Kwon S.W.,1.0,1.0,0.0,0.0,0.0,0.0,0.0
181,Auger-Aliassime F.,1.0,1.0,1.0,0.0,0.0,0.0,0.0
182,Griekspoor T.,1.0,0.0,0.0,0.0,0.0,0.0,0.0
183,Ugo Carabelli C.,1.0,0.0,0.0,0.0,0.0,0.0,0.0
184,Kubler J.,1.0,0.0,0.0,0.0,0.0,0.0,0.0
185,Zapata Miralles B.,1.0,1.0,1.0,0.0,0.0,0.0,0.0
186,Gojo B.,1.0,0.0,0.0,0.0,0.0,0.0,0.0
187,Baez S.,1.0,0.0,0.0,0.0,0.0,0.0,0.0
188,Nakashima B.,1.0,1.0,0.0,0.0,0.0,0.0,0.0
189,Evans D.,1.0,0.0,0.0,0.0,0.0,0.0,0.0
190,Cachin P.,1.0,0.0,0.0,0.0,0.0,0.0,0.0
191,Rune H.,1.0,1.0,1.0,1.0,0.0,0.0,0.0
192,Ruusuvuori E.,1.0,0.0,0.0,0.0,0.0,0.0,0.0
193,Molcan A.,1.0,0.0,0.0,0.0,0.0,0.0,0.0
194,Ivashka I.,1.0,0.0,0.0,0.0,0.0,0.0,0.0
195,Tiafoe F.,1.0,0.0,0.0,0.0,0.0,0.0,0.0
196,Kolar Z.,1.0,0.0,0.0,0.0,0.0,0.0,0.0
197,Ungur A.,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198,Young D.,0.0,0.0,0.0,0.0,0.0,0.0,0.0
199,Becker B.,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200,Rosol L.,0.0,0.0,0.0,0.0,0.0,0.0,0.0
201,Kudla D.,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202,Tipsarevic J.,0.0,0.0,0.0,0.0,0.0,0.0,0.0
203,Youzhny M.,0.0,0.0,0.0,0.0,0.0,0.0,0.0
204,Sela D.,0.0,0.0,0.0,0.0,0.0,0.0,0.0
205,Montanes A.,0.0,0.0,0.0,0.0,0.0,0.0,0.0
206,Samper-Montana J.,0.0,0.0,0.0,0.0,0.0,0.0,0.0
207,Munoz De La Nava D.,0.0,0.0,0.0,0.0,0.0,0.0,0.0
208,Mayer F.,0.0,0.0,0.0,0.0,0.0,0.0,0.0
209,Melzer G.,0.0,0.0,0.0,0.0,0.0,0.0,0.0
210,Pospisil V.,0.0,0.0,0.0,0.0,0.0,0.0,0.0
211,Baker B.,0.0,0.0,0.0,0.0,0.0,0.0,0.0
