"ATP","Date","Round","Winner","Loser","WRank","LRank","WPts","LPts","Wsets","Lsets","B365W","B365L","PSW","PSL","MaxW","MaxL","AvgW","AvgL","SetsTotales","PromDif"
32,"29/05/13","1st Round","Tipsarevic J.","Mahut N.",12,173,2480,298,3,0,1.18,4.5,1.19,5.35,1.22,5.5,1.18,4.7,3,3.33333333333333
32,"29/05/13","1st Round","Kubot L.","Teixeira M.",107,284,514,160,3,1,1.33,3.25,1.4,3.22,1.43,3.55,1.36,3.09,4,2.25
32,"29/05/13","1st Round","Paire B.","Baghdatis M.",26,39,1405,1030,3,1,1.18,4.5,1.21,5.08,1.22,5.5,1.19,4.6,4,2
32,"29/05/13","1st Round","Zeballos H.","Pospisil V.",46,103,884,533,3,2,1.44,2.62,1.53,2.68,1.6,2.74,1.53,2.48,5,2
32,"29/05/13","2nd Round","Cilic M.","Kyrgios N.",11,262,2570,175,3,0,1.07,9,1.07,11.25,1.1,11.5,1.07,8.79,3,3.33333333333333
32,"29/05/13","2nd Round","Ferrer D.","Montanes A.",5,47,6740,880,3,0,1.04,13,1.04,15,1.05,17,1.04,11.98,3,4
32,"29/05/13","2nd Round","Troicki V.","Gimeno-Traver D.",57,49,800,857,3,2,1.66,2.1,1.65,2.37,1.8,2.45,1.67,2.18,5,2.4
32,"29/05/13","2nd Round","Lopez F.","Sousa J.",43,119,930,447,3,1,1.36,3,1.43,3.05,1.43,3.8,1.35,3.17,4,2.5
32,"29/05/13","2nd Round","Anderson K.","Donskoy E.",25,82,1420,639,3,1,1.08,8,1.1,8.52,1.11,9.8,1.09,7.36,4,3
32,"29/05/13","2nd Round","Tsonga J.W.","Nieminen J.",8,38,3795,1075,3,0,1.12,6,1.13,7.45,1.15,7.5,1.13,5.86,3,2
32,"29/05/13","2nd Round","Seppi A.","Kavcic B.",22,104,1530,529,3,2,1.36,3,1.36,3.44,1.45,3.44,1.4,2.91,5,2.6
32,"29/05/13","2nd Round","Robredo T.","Sijsling I.",34,62,1095,762,3,2,1.25,3.75,1.32,3.74,1.32,4.4,1.27,3.72,5,3.2
32,"29/05/13","2nd Round","Simon G.","Cuevas P.",18,762,1895,21,3,1,1.08,8,1.12,7.67,1.15,9.5,1.09,7.35,4,4
32,"29/05/13","2nd Round","Raonic M.","Llodra M.",16,55,2225,814,3,1,1.28,3.5,1.36,3.44,1.36,4.5,1.29,3.6,4,2.5
32,"29/05/13","2nd Round","Chardy J.","Bautista R.",27,68,1371,714,3,0,1.3,3.4,1.39,3.27,1.4,3.75,1.36,3.12,3,3
32,"29/05/13","2nd Round","Benneteau J.","Kamke T.",32,72,1200,686,3,2,1.33,3.25,1.3,3.92,1.4,4.05,1.3,3.47,5,2.6
32,"29/05/13","2nd Round","Monfils G.","Gulbis E.",81,40,640,991,3,1,2.1,1.66,2.25,1.72,2.34,1.82,2.13,1.7,4,2
32,"29/05/13","2nd Round","Almagro N.","Roger-Vasselin E.",13,65,2375,736,3,0,1.16,5,1.19,5.42,1.2,6.3,1.17,4.93,3,3
32,"29/05/13","2nd Round","Querrey S.","Hajek J.",20,87,1730,605,3,0,1.44,2.62,1.58,2.55,1.6,2.7,1.52,2.51,3,2
32,"29/05/13","2nd Round","Federer R.","Devvarman S.",3,188,8000,269,3,0,1.02,29,1.01,29.16,1.02,43.5,1.01,21.32,3,4.66666666666667
32,"30/05/13","2nd Round","Kohlschreiber P.","Lu Y.H.",19,76,1750,675,NA,NA,1.05,11,1.07,11.25,1.08,13,1.05,9.91,0,NA
32,"30/05/13","2nd Round","Dimitrov G.","Pouille L.",28,324,1355,131,3,0,1.04,13,1.05,13,1.06,15,1.04,10.82,3,3.66666666666667
32,"30/05/13","2nd Round","Nishikori K.","Zemlja G.",15,50,2315,857,3,1,1.12,6,1.17,5.91,1.17,6.7,1.14,5.68,4,3.5
32,"30/05/13","2nd Round","Hanescu V.","Tursunov D.",54,60,815,794,1,0,1.57,2.25,1.66,2.37,1.71,2.42,1.62,2.27,1,2
32,"30/05/13","2nd Round","Fognini F.","Rosol L.",29,36,1345,1086,3,1,1.44,2.62,1.54,2.67,1.55,2.75,1.5,2.57,4,3.5
32,"30/05/13","2nd Round","Djokovic N.","Pella G.",1,83,12310,635,3,0,1,41,1.01,41,1.02,46,1.01,22.77,3,4.66666666666667
32,"30/05/13","2nd Round","Paire B.","Kubot L.",26,107,1405,514,3,0,1.16,5,1.19,5.42,1.2,5.9,1.17,4.93,3,2.33333333333333
32,"31/05/13","2nd Round","Youzhny M.","Delbonis F.",31,125,1265,435,3,1,1.33,3.25,1.41,3.17,1.41,3.75,1.32,3.32,4,2
32,"31/05/13","2nd Round","Haas T.","Sock J.",14,118,2340,460,3,0,1.14,5.5,1.16,6.09,1.17,6.7,1.14,5.7,3,2.33333333333333
32,"31/05/13","2nd Round","Janowicz J.","Haase R.",23,66,1524,727,3,1,1.28,3.5,1.35,3.55,1.35,3.75,1.29,3.55,4,2.25
32,"31/05/13","2nd Round","Isner J.","Harrison R.",21,92,1690,579,3,2,1.28,3.5,1.34,3.56,1.35,3.9,1.3,3.5,5,2.6
32,"31/05/13","2nd Round","Davydenko N.","Istomin D.",48,42,870,935,3,0,1.36,3,1.42,3.14,1.44,3.25,1.38,2.98,3,2.66666666666667
32,"31/05/13","2nd Round","Gasquet R.","Przysiezny M.",9,133,3090,410,3,0,1.02,19,1.03,20,1.04,23.9,1.02,14.71,3,4
32,"31/05/13","2nd Round","Tipsarevic J.","Verdasco F.",12,53,2480,830,3,2,2.1,1.66,2.2,1.75,2.33,1.8,2.12,1.7,5,2.6
32,"31/05/13","2nd Round","Nadal R.","Klizan M.",4,35,6895,1090,3,1,1,41,1.01,61,1.01,71,1.01,28.76,4,2.75
32,"31/05/13","2nd Round","Wawrinka S.","Zeballos H.",10,46,2630,884,3,0,1.06,10,1.08,10.25,1.1,10.5,1.07,8.41,3,2.33333333333333
32,"31/05/13","3rd Round","Ferrer D.","Lopez F.",5,43,6740,930,3,0,1.05,11,1.05,15.5,1.07,15.5,1.05,10.19,3,3
32,"31/05/13","3rd Round","Troicki V.","Cilic M.",57,11,800,2570,3,0,4,1.22,4.22,1.28,4.65,1.29,3.95,1.25,3,1.66666666666667
32,"31/05/13","3rd Round","Federer R.","Benneteau J.",3,32,8000,1200,3,0,1.03,15,1.04,17,1.06,17,1.04,12.05,3,2.33333333333333
32,"31/05/13","3rd Round","Robredo T.","Monfils G.",34,81,1095,640,3,2,2.87,1.38,2.8,1.51,3.35,1.51,2.83,1.42,5,2.8
32,"31/05/13","3rd Round","Anderson K.","Raonic M.",25,16,1420,2225,3,0,2.25,1.57,2.36,1.68,2.44,1.7,2.25,1.63,3,2
32,"31/05/13","3rd Round","Tsonga J.W.","Chardy J.",8,27,3795,1371,3,0,1.22,4,1.28,4.24,1.3,6.3,1.24,4.06,3,3.66666666666667
32,"31/05/13","3rd Round","Simon G.","Querrey S.",18,20,1895,1730,3,2,1.36,3,1.43,3.1,1.45,3.2,1.41,2.87,5,3.2
32,"31/05/13","3rd Round","Almagro N.","Seppi A.",13,22,2375,1530,3,0,1.16,5,1.22,5.05,1.25,6.3,1.2,4.47,3,3
32,"01/06/13","3rd Round","Nishikori K.","Paire B.",15,26,2315,1405,3,1,2,1.72,1.93,2,2.1,2,1.99,1.79,4,2.75
32,"01/06/13","3rd Round","Youzhny M.","Tipsarevic J.",31,12,1265,2480,3,0,1.57,2.25,1.67,2.38,1.85,2.4,1.66,2.19,3,2.33333333333333
32,"01/06/13","3rd Round","Haas T.","Isner J.",14,21,2340,1690,3,2,1.28,3.5,1.37,3.45,1.37,3.65,1.32,3.36,5,1.6
32,"01/06/13","3rd Round","Gasquet R.","Davydenko N.",9,48,3090,870,3,0,1.14,5.5,1.18,5.8,1.22,5.8,1.18,4.92,3,2.33333333333333
32,"01/06/13","3rd Round","Nadal R.","Fognini F.",4,29,6895,1345,3,0,1.002,29,1.01,29.68,1.04,33,1.01,18.85,3,1.66666666666667
32,"01/06/13","3rd Round","Wawrinka S.","Janowicz J.",10,23,2630,1524,3,1,1.33,3.25,1.37,3.45,1.39,3.58,1.34,3.25,4,2.5
32,"01/06/13","3rd Round","Djokovic N.","Dimitrov G.",1,28,12310,1355,3,0,1.07,9,1.09,9.6,1.14,9.6,1.09,7.47,3,3.66666666666667
32,"01/06/13","3rd Round","Kohlschreiber P.","Hanescu V.",19,54,1750,815,3,0,1.4,2.75,1.51,2.79,1.52,3.1,1.42,2.82,3,4
32,"02/06/13","4th Round","Ferrer D.","Anderson K.",5,25,6740,1420,3,0,1.11,6.5,1.16,6.48,1.17,7.1,1.13,5.87,3,4.33333333333333
32,"02/06/13","4th Round","Robredo T.","Almagro N.",34,13,1095,2375,3,2,5,1.16,5.01,1.22,5.3,1.23,4.61,1.2,5,2
32,"02/06/13","4th Round","Tsonga J.W.","Troicki V.",8,57,3795,800,3,0,1.08,8,1.08,10.75,1.13,11,1.09,7.69,3,3
32,"02/06/13","4th Round","Federer R.","Simon G.",3,18,8000,1895,3,2,1.04,13,1.05,13.8,1.07,16,1.05,10.68,5,3.6
32,"03/06/13","4th Round","Haas T.","Youzhny M.",14,31,2340,1265,3,0,1.8,2,1.82,2.12,1.95,2.12,1.84,1.94,3,4.33333333333333
32,"03/06/13","4th Round","Djokovic N.","Kohlschreiber P.",1,19,12310,1750,3,1,1.03,15,1.05,14.8,1.06,19,1.03,12.89,4,2.25
32,"03/06/13","4th Round","Wawrinka S.","Gasquet R.",10,9,2630,3090,3,2,1.72,2.1,1.83,2.11,1.83,2.38,1.71,2.11,5,1.8
32,"03/06/13","4th Round","Nadal R.","Nishikori K.",4,15,6895,2315,3,0,1.04,13,1.04,17,1.06,17,1.04,12.49,3,3.33333333333333
32,"04/06/13","Quarterfinals","Tsonga J.W.","Federer R.",8,3,3795,8000,3,0,2.5,1.53,2.47,1.63,2.6,1.7,2.44,1.56,3,2.66666666666667
32,"04/06/13","Quarterfinals","Ferrer D.","Robredo T.",5,34,6740,1095,3,0,1.05,11,1.08,10.25,1.08,12,1.06,9.67,3,4.66666666666667
32,"05/06/13","Quarterfinals","Djokovic N.","Haas T.",1,14,12310,2340,3,0,1.08,8,1.11,8.53,1.13,8.53,1.1,6.99,3,2
32,"05/06/13","Quarterfinals","Nadal R.","Wawrinka S.",4,10,6895,2630,3,0,1.06,10,1.06,12.5,1.08,12.6,1.06,9.99,3,4
32,"07/06/13","Semifinals","Nadal R.","Djokovic N.",4,1,6895,12310,3,2,1.61,2.3,1.58,2.6,1.8,2.65,1.61,2.33,5,2.6
32,"07/06/13","Semifinals","Ferrer D.","Tsonga J.W.",5,8,6740,3795,3,0,1.61,2.3,1.68,2.37,1.72,2.43,1.66,2.22,3,3.33333333333333
32,"09/06/13","The Final","Nadal R.","Ferrer D.",4,5,6895,6740,3,0,1.1,7,1.13,8.25,1.14,8.42,1.11,7.03,3,3.33333333333333
32,"25/05/14","1st Round","Raonic M.","Kyrgios N.",9,160,2975,350,3,0,1.07,9,1.09,9.06,1.1,9.06,1.08,7.7,3,2.33333333333333
32,"25/05/14","1st Round","Youzhny M.","Carreno-Busta P.",16,68,2065,729,3,2,1.36,3,1.47,2.9,1.47,3.1,1.41,2.88,5,3.8
32,"25/05/14","1st Round","Nedovyesov A.","Devvarman S.",101,96,591,595,3,1,1.9,1.8,1.99,1.92,1.99,2.05,1.85,1.92,4,2.25
32,"25/05/14","1st Round","Nieminen J.","Przysiezny M.",60,102,790,572,3,2,1.14,5.5,1.14,6.87,1.2,6.87,1.17,5.03,5,1.8
32,"25/05/14","1st Round","Stepanek R.","Arguello F.",43,114,1040,512,3,2,1.28,3.5,1.31,3.85,1.33,4,1.28,3.6,5,2.6
32,"25/05/14","1st Round","Federer R.","Lacko L.",4,87,5125,617,3,0,1.01,26,1.01,27.22,1.03,27.22,1.02,16.47,3,3.33333333333333
32,"25/05/14","1st Round","Berdych T.","Polansky P.",6,135,4330,421,3,0,1.01,21,1.02,22.73,1.03,23.5,1.02,15.43,3,2.33333333333333
32,"25/05/14","1st Round","Schwartzman D.","Elias G.",109,178,533,294,3,0,1.53,2.37,1.57,2.57,1.61,2.57,1.57,2.37,3,2.66666666666667
32,"25/05/14","1st Round","Janowicz J.","Estrella Burgos V.",23,100,1510,592,3,1,1.18,4.5,1.22,4.85,1.29,4.85,1.22,4.17,4,2.5
32,"25/05/14","1st Round","Isner J.","Herbert P.H.",11,130,2600,431,3,0,1.08,8,1.1,8.6,1.15,8.6,1.1,6.96,3,1.33333333333333
32,"25/05/14","1st Round","Tsonga J.W.","Roger-Vasselin E.",14,51,2315,895,3,0,1.14,5.5,1.17,5.87,1.17,5.87,1.15,5.28,3,2.33333333333333
32,"25/05/14","1st Round","Tursunov D.","Starace P.",32,176,1155,304,3,0,1.44,2.62,1.56,2.62,1.59,2.75,1.5,2.56,3,3.66666666666667
32,"25/05/14","1st Round","Querrey S.","Volandri F.",67,99,730,592,3,0,1.28,3.5,1.33,3.64,1.38,3.64,1.34,3.2,3,2
32,"25/05/14","1st Round","Dolgopolov O.","Ramos A.",21,115,1645,511,3,0,1.36,3,1.39,3.27,1.42,3.35,1.37,3.05,3,2.66666666666667
32,"25/05/14","1st Round","Chardy J.","Gimeno-Traver D.",42,94,1060,599,3,0,1.36,3,1.4,3.22,1.45,3.22,1.41,2.86,3,3.33333333333333
32,"26/05/14","1st Round","Paire B.","Falla A.",61,70,760,713,3,0,1.66,2.1,1.87,2.04,1.87,2.35,1.72,2.09,3,2
32,"26/05/14","1st Round","Haase R.","Davydenko N.",50,92,910,610,3,0,1.5,2.5,1.54,2.66,1.57,2.75,1.52,2.5,3,2.66666666666667
32,"26/05/14","1st Round","Kukushkin M.","Mahut N.",54,40,859,1067,3,1,1.66,2.1,1.68,2.34,1.77,2.34,1.67,2.17,4,2.25
32,"26/05/14","1st Round","Kamke T.","Mecir M.",106,211,547,233,3,0,1.83,1.83,1.99,1.92,1.99,2.19,1.78,2.01,3,1.33333333333333
32,"26/05/14","1st Round","Vesely J.","Rosol L.",81,52,641,885,3,0,1.72,2,1.69,2.3,1.8,2.3,1.7,2.12,3,2.33333333333333
32,"26/05/14","1st Round","Cilic M.","Andujar P.",26,78,1410,661,3,0,1.25,3.75,1.3,3.92,1.33,4,1.27,3.67,3,3.33333333333333
32,"26/05/14","1st Round","Klizan M.","Nishikori K.",59,10,795,2815,3,0,6,1.12,6.34,1.15,6.75,1.19,5.6,1.14,3,3.33333333333333
32,"26/05/14","1st Round","De Schepper K.","Montanes A.",72,86,704,625,0,0,4.5,1.16,4.34,1.26,4.9,1.26,4.36,1.2,0,Inf
32,"26/05/14","1st Round","Robredo T.","Ward J.",19,168,1900,326,3,1,1.08,8,1.07,10.75,1.1,10.75,1.07,8.34,4,2.5
32,"26/05/14","1st Round","Djokovic N.","Sousa J.",2,44,11850,1039,3,0,1,51,1.01,46,1.01,58.5,1.01,24.98,3,3.66666666666667
32,"26/05/14","1st Round","Granollers M.","Dodig I.",229,36,210,1100,0,0,1.36,3,1.36,3.48,1.54,3.5,1.39,2.99,0,NA
32,"26/05/14","1st Round","Melzer J.","Goffin D.",56,105,835,548,3,1,1.66,2.1,1.78,2.16,1.79,2.35,1.69,2.14,4,2
32,"26/05/14","1st Round","Gonzalez A.","Russell M.",77,98,675,593,3,1,1.18,4.5,1.22,4.85,1.26,4.85,1.22,4.21,4,3
32,"26/05/14","1st Round","Simon G.","Pavic A.",30,177,1225,303,3,0,1.08,8,1.09,9.16,1.11,9.16,1.08,7.47,3,4.33333333333333
32,"26/05/14","1st Round","Bagnis F.","Benneteau J.",143,45,398,1035,3,2,2.62,1.44,2.94,1.46,3.65,1.46,2.95,1.39,5,3.8
32,"26/05/14","1st Round","Gabashvili T.","Pospisil V.",58,31,798,1170,3,0,1.36,3,1.39,3.28,1.4,3.5,1.34,3.18,3,3
32,"26/05/14","1st Round","Lopez F.","Dzumhur D.",27,129,1395,431,3,0,1.4,2.75,1.52,2.73,1.52,3.5,1.43,2.79,3,2.33333333333333
32,"26/05/14","1st Round","Bautista R.","Lorenzi P.",29,88,1330,615,3,0,1.33,3.25,1.4,3.22,1.4,4,1.33,3.31,3,3
32,"26/05/14","1st Round","Bellucci T.","Becker B.",108,69,540,713,3,2,1.12,6,1.14,6.7,1.17,6.7,1.14,5.52,5,3
32,"26/05/14","1st Round","Nadal R.","Ginepri R.",1,279,12500,169,3,0,1,41,1.01,41,1.01,60,1.01,25.98,3,5
32,"26/05/14","1st Round","Gulbis E.","Kubot L.",17,63,2050,748,3,1,1.06,10,1.08,10.25,1.11,11,1.06,8.61,4,2.75
32,"26/05/14","1st Round","Fognini F.","Beck A.",15,51,2155,1120,3,0,1.12,6,1.13,7.04,1.15,7.04,1.13,5.79,3,3
32,"26/05/14","1st Round","Mayer L.","Duckworth J.",65,165,733,331,3,1,1.3,3.4,1.4,3.22,1.42,4,1.33,3.27,4,2.25
32,"26/05/14","1st Round","Mannarino A.","Lu Y.H.",89,48,612,968,3,0,2.1,1.66,2.37,1.66,2.37,1.73,2.2,1.65,3,4.66666666666667
32,"26/05/14","1st Round","Thiem D.","Mathieu P.H.",57,90,812,611,3,0,1.72,2,1.79,2.14,1.87,2.25,1.77,2.02,3,2.33333333333333
32,"26/05/14","1st Round","Young D.","Sela D.",79,110,647,531,3,1,1.2,4.33,1.24,4.58,1.36,4.58,1.24,3.98,4,5
32,"26/05/14","1st Round","Garcia-Lopez G.","Wawrinka S.",41,3,1063,5830,3,1,7,1.1,8.04,1.11,8.04,1.14,6.51,1.11,4,3.5
32,"27/05/14","1st Round","Karlovic I.","Dimitrov G.",37,12,1097,2515,3,0,8,1.08,10.25,1.07,10.5,1.1,7.81,1.08,3,1.66666666666667
32,"27/05/14","1st Round","Berlocq C.","Hewitt L.",47,46,975,1030,3,1,1.28,3.5,1.26,4.3,1.3,4.33,1.26,3.77,4,3.5
