"ATP","Date","Round","Winner","Loser","WRank","LRank","WPts","LPts","W1","L1","W2","L2","W3","L3","W4","L4","W5","L5","Wsets","Lsets","B365W","B365L","PSW","PSL","MaxW","MaxL","AvgW","AvgL"
32,"31/05/13","2nd Round","Wawrinka S.","Zeballos H.",10,46,2630,884,6,2,7,6,6,4,NA,NA,NA,NA,3,0,1.06,10,1.08,10.25,1.1,10.5,1.07,8.41
32,"31/05/13","3rd Round","Ferrer D.","Lopez F.",5,43,6740,930,6,1,7,5,6,4,NA,NA,NA,NA,3,0,1.05,11,1.05,15.5,1.07,15.5,1.05,10.19
32,"31/05/13","3rd Round","Troicki V.","Cilic M.",57,11,800,2570,7,6,6,4,7,5,NA,NA,NA,NA,3,0,4,1.22,4.22,1.28,4.65,1.29,3.95,1.25
32,"31/05/13","3rd Round","Federer R.","Benneteau J.",3,32,8000,1200,6,3,6,4,7,5,NA,NA,NA,NA,3,0,1.03,15,1.04,17,1.06,17,1.04,12.05
32,"31/05/13","3rd Round","Robredo T.","Monfils G.",34,81,1095,640,2,6,6,7,6,2,7,6,6,2,3,2,2.87,1.38,2.8,1.51,3.35,1.51,2.83,1.42
32,"31/05/13","3rd Round","Anderson K.","Raonic M.",25,16,1420,2225,7,5,7,6,6,3,NA,NA,NA,NA,3,0,2.25,1.57,2.36,1.68,2.44,1.7,2.25,1.63
32,"31/05/13","3rd Round","Tsonga J.W.","Chardy J.",8,27,3795,1371,6,1,6,2,7,5,NA,NA,NA,NA,3,0,1.22,4,1.28,4.24,1.3,6.3,1.24,4.06
32,"31/05/13","3rd Round","Simon G.","Querrey S.",18,20,1895,1730,2,6,6,3,2,6,7,6,6,2,3,2,1.36,3,1.43,3.1,1.45,3.2,1.41,2.87
32,"31/05/13","3rd Round","Almagro N.","Seppi A.",13,22,2375,1530,7,6,6,0,6,4,NA,NA,NA,NA,3,0,1.16,5,1.22,5.05,1.25,6.3,1.2,4.47
32,"01/06/13","3rd Round","Nishikori K.","Paire B.",15,26,2315,1405,6,3,6,7,6,4,6,1,NA,NA,3,1,2,1.72,1.93,2,2.1,2,1.99,1.79
32,"01/06/13","3rd Round","Youzhny M.","Tipsarevic J.",31,12,1265,2480,6,4,6,4,6,3,NA,NA,NA,NA,3,0,1.57,2.25,1.67,2.38,1.85,2.4,1.66,2.19
32,"01/06/13","3rd Round","Haas T.","Isner J.",14,21,2340,1690,7,5,7,6,4,6,6,7,10,8,3,2,1.28,3.5,1.37,3.45,1.37,3.65,1.32,3.36
32,"01/06/13","3rd Round","Gasquet R.","Davydenko N.",9,48,3090,870,6,4,6,4,6,3,NA,NA,NA,NA,3,0,1.14,5.5,1.18,5.8,1.22,5.8,1.18,4.92
32,"01/06/13","3rd Round","Nadal R.","Fognini F.",4,29,6895,1345,7,6,6,4,6,4,NA,NA,NA,NA,3,0,1.002,29,1.01,29.68,1.04,33,1.01,18.85
