Round_num,Winner_Id,Loser_Id,WRank,LRank,WPts,LPts,Wsets,Lsets,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL,SetsTotales,LabelWinnerRank,LabelWinnerPoints,LabelWinnerOddsB65,LabelWinnerOddsPS,LabelWinnerOddsMAX,LabelWinnerOddsAvg,WinnerRoundsWon,LoserRoundsWon,LabelWinnerRounds,LabelWinnerRoundsAndOddsAvg,WinnerRoundsLost,LoserRoundsLost,WinnerRoundsPlayed,LoserRoundsPlayed,LabelWinnerRoundsWonOverAll,LabelLoserRoundsWonOverAll
2,129,270,80,29.0,701,1275.0,3.0,0.0,2.2,1.61,2.2,1.75,2.25,1.75,2.13,1.7,3,0.0,0.0,0,0,0,0,1,0,1,1,1,3,2,3,0.5,0.0
2,144,103,15,51.0,2430,865.0,3.0,0.0,1.2,4.33,1.2,5.24,1.2,5.24,1.18,4.77,3,1.0,1.0,1,1,1,1,5,1,1,1,0,2,5,3,1.0,0.3333
2,88,115,16,65.0,2015,771.0,3.0,0.0,1.16,5.0,1.21,5.12,1.21,5.25,1.18,4.81,3,1.0,1.0,1,1,1,1,5,0,1,1,1,1,6,1,0.8333,0.0
2,44,69,5,99.0,5675,590.0,3.0,0.0,1.005,34.0,1.01,31.0,1.01,42.25,1.01,22.38,3,1.0,1.0,1,1,1,1,7,0,1,1,0,2,7,2,1.0,0.0
2,91,226,47,22.0,935,1625.0,3.0,1.0,1.18,4.5,1.26,4.34,1.26,4.6,1.22,4.23,4,0.0,0.0,1,1,1,1,3,0,1,1,2,1,5,1,0.6,0.0
2,164,127,1,161.0,16150,331.0,3.0,0.0,1.005,34.0,1.01,41.0,1.01,52.25,1.01,23.0,3,1.0,1.0,1,1,1,1,7,0,1,1,0,1,7,1,1.0,0.0
2,118,75,41,90.0,1060,628.0,3.0,1.0,1.3,3.4,1.4,3.22,1.4,3.4,1.34,3.22,4,1.0,1.0,1,1,1,1,6,0,1,1,0,1,6,1,1.0,0.0
2,11,52,7,39.0,3355,1067.0,3.0,2.0,1.12,6.0,1.14,6.93,1.17,6.93,1.12,5.95,5,1.0,1.0,1,1,1,1,1,0,1,1,1,1,2,1,0.5,0.0
2,21,187,13,126.0,2570,462.0,3.0,0.0,1.12,6.0,1.16,6.16,1.16,6.4,1.13,5.87,3,1.0,1.0,1,1,1,1,5,0,1,1,0,1,5,1,1.0,0.0
2,126,63,56,44.0,844,976.0,2.0,0.0,1.36,3.0,1.45,3.0,1.46,3.1,1.4,2.89,2,0.0,0.0,1,1,1,1,1,1,0,1,0,1,1,2,1.0,0.5
2,183,160,49,60.0,899,815.0,3.0,0.0,1.36,3.0,1.47,2.9,1.48,3.0,1.42,2.8,3,1.0,1.0,1,1,1,1,1,1,0,1,1,2,2,3,0.5,0.3333
2,49,212,23,87.0,1550,670.0,3.0,0.0,1.36,3.0,1.44,3.01,1.44,3.05,1.4,2.92,3,1.0,1.0,1,1,1,1,2,0,1,1,0,2,2,2,1.0,0.0
2,246,138,11,92.0,2740,620.0,3.0,1.0,1.3,3.4,1.36,3.35,1.36,3.55,1.33,3.26,4,1.0,1.0,1,1,1,1,1,0,1,1,1,1,2,1,0.5,0.0
3,57,211,9,133.0,2785,438.0,3.0,0.0,1.03,15.0,1.04,16.32,1.04,18.5,1.03,13.7,3,1.0,1.0,1,1,1,1,2,0,1,1,0,1,2,1,1.0,0.0
3,220,84,55,25.0,853,1505.0,3.0,2.0,2.62,1.5,2.7,1.54,2.7,1.56,2.56,1.5,5,0.0,0.0,0,0,0,0,2,0,1,1,1,1,3,1,0.6667,0.0
3,199,181,2,28.0,8435,1280.0,3.0,0.0,1.06,10.0,1.08,10.36,1.08,11.44,1.06,9.05,3,1.0,1.0,1,1,1,1,2,0,1,1,0,1,2,1,1.0,0.0
3,113,98,6,52.0,4470,855.0,3.0,2.0,1.12,6.0,1.15,6.55,1.17,6.79,1.13,5.8,5,1.0,1.0,1,1,1,1,5,2,1,1,0,1,5,3,1.0,0.6667
3,101,196,12,19.0,2725,1855.0,3.0,0.0,2.1,1.72,2.17,1.79,2.17,1.91,2.07,1.75,3,1.0,1.0,0,0,0,0,1,0,1,1,2,1,3,1,0.3333,0.0
3,184,22,17,79.0,1965,706.0,3.0,2.0,1.5,2.62,1.53,2.74,1.61,2.76,1.51,2.54,5,1.0,1.0,1,1,1,1,2,0,1,1,3,1,5,1,0.4,0.0
3,104,106,4,32.0,6315,1265.0,3.0,0.0,1.14,5.5,1.18,5.77,1.19,5.77,1.16,5.26,3,1.0,1.0,1,1,1,1,3,0,1,1,1,1,4,1,0.75,0.0
3,205,266,24,18.0,1535,1945.0,3.0,0.0,3.4,1.33,3.67,1.34,3.68,1.38,3.36,1.32,3,0.0,0.0,0,0,0,0,1,0,1,1,0,3,1,3,1.0,0.0
3,126,44,56,5.0,844,5675.0,,,19.0,1.02,22.73,1.03,25.0,1.03,16.82,1.02,0,0.0,0.0,0,0,0,0,1,6,0,0,0,1,1,7,1.0,0.8571
3,144,118,15,41.0,2430,1060.0,3.0,1.0,1.22,4.33,1.24,4.72,1.27,4.72,1.22,4.2,4,1.0,1.0,1,1,1,1,5,5,0,1,0,1,5,6,1.0,0.8333
3,246,49,11,23.0,2740,1550.0,3.0,0.0,1.16,5.0,1.19,5.61,1.21,5.61,1.17,4.95,3,1.0,1.0,1,1,1,1,1,0,1,1,0,2,1,2,1.0,0.0
3,21,183,13,49.0,2570,899.0,3.0,2.0,1.44,2.75,1.49,2.87,1.53,2.87,1.46,2.68,5,1.0,1.0,1,1,1,1,2,0,1,1,3,1,5,1,0.4,0.0
3,129,11,80,7.0,701,3355.0,0.0,0.0,2.75,1.44,2.8,1.51,2.9,1.51,2.7,1.45,0,0.0,0.0,0,0,0,0,1,0,1,1,0,1,1,1,1.0,0.0
3,194,122,8,27.0,2850,1450.0,3.0,1.0,1.61,2.3,1.7,2.31,1.71,2.38,1.63,2.25,4,1.0,1.0,1,1,1,1,1,0,1,1,0,3,1,3,1.0,0.0
3,88,91,16,47.0,2015,935.0,3.0,0.0,1.4,3.0,1.41,3.21,1.44,3.25,1.37,3.01,3,1.0,1.0,1,1,1,1,2,0,1,1,3,3,5,3,0.4,0.0
3,164,14,1,66.0,16150,765.0,3.0,0.0,1.005,34.0,1.01,41.0,1.02,41.0,1.01,22.03,3,1.0,1.0,1,1,1,1,7,0,1,1,0,3,7,3,1.0,0.0
4,220,57,55,9.0,853,2785.0,3.0,0.0,4.5,1.2,5.01,1.22,5.5,1.23,4.55,1.19,3,0.0,0.0,0,0,0,0,1,0,1,1,1,2,2,2,0.5,0.0
4,104,205,4,24.0,6315,1535.0,3.0,1.0,1.1,7.0,1.12,8.03,1.14,8.03,1.11,6.67,4,1.0,1.0,1,1,1,1,3,0,1,1,0,1,3,1,1.0,0.0
4,199,184,2,17.0,8435,1965.0,3.0,0.0,1.08,8.0,1.09,9.81,1.1,10.0,1.08,8.22,3,1.0,1.0,1,1,1,1,2,0,1,1,0,2,2,2,1.0,0.0
4,101,113,12,6.0,2725,4470.0,3.0,1.0,3.0,1.4,3.22,1.41,3.22,1.46,2.97,1.4,4,0.0,0.0,0,0,0,0,1,2,0,0,0,3,1,5,1.0,0.4
4,164,88,1,16.0,16150,2015.0,3.0,1.0,1.01,21.0,1.03,14.73,1.02,25.49,1.01,17.46,4,1.0,1.0,1,1,1,1,7,0,1,1,0,2,7,2,1.0,0.0
4,21,129,13,80.0,2570,701.0,3.0,1.0,1.33,3.4,1.51,2.65,1.35,3.75,1.3,3.45,4,1.0,1.0,1,1,1,1,1,0,1,1,1,1,2,1,0.5,0.0
4,194,246,8,11.0,2850,2740.0,3.0,0.0,2.2,1.66,2.23,1.69,2.3,1.78,2.15,1.69,3,1.0,1.0,0,0,0,0,1,0,1,1,0,1,1,1,1.0,0.0
