,Players,1R_L,2R_L,3R_L,4R_L,QF_L,SF_L,F_L
137,Harris L.,1.0,3.0,0.0,0.0,0.0,0.0,0.0
138,Bublik A.,1.0,3.0,0.0,0.0,0.0,0.0,0.0
139,Fritz T.,2.0,3.0,1.0,0.0,0.0,0.0,0.0
140,Nishioka Y.,2.0,3.0,0.0,0.0,0.0,0.0,0.0
141,Benchetrit E.,2.0,1.0,0.0,0.0,0.0,0.0,0.0
142,Ymer M.,1.0,1.0,2.0,0.0,0.0,0.0,0.0
143,Barrere G.,4.0,2.0,0.0,0.0,0.0,0.0,0.0
144,Hoang A.,1.0,0.0,1.0,0.0,0.0,0.0,0.0
145,Korda S.,1.0,0.0,1.0,1.0,0.0,0.0,0.0
146,Sinner J.,0.0,0.0,0.0,2.0,1.0,0.0,0.0
147,Coria F.,1.0,1.0,1.0,0.0,0.0,0.0,0.0
148,Rodionov J.,0.0,1.0,0.0,0.0,0.0,0.0,0.0
149,Travaglia S.,2.0,0.0,1.0,0.0,0.0,0.0,0.0
150,Gombos N.,2.0,0.0,1.0,0.0,0.0,0.0,0.0
151,Koepfer D.,0.0,1.0,1.0,0.0,0.0,0.0,0.0
152,Gaston H.,1.0,0.0,1.0,1.0,0.0,0.0,0.0
153,Martinez P.,2.0,1.0,1.0,0.0,0.0,0.0,0.0
154,Sonego L.,2.0,0.0,1.0,1.0,0.0,0.0,0.0
155,Paul T.,2.0,2.0,0.0,0.0,0.0,0.0,0.0
156,Mcdonald M.,1.0,2.0,1.0,0.0,0.0,0.0,0.0
157,Giustino L.,0.0,1.0,0.0,0.0,0.0,0.0,0.0
158,Milojevic N.,0.0,1.0,0.0,0.0,0.0,0.0,0.0
159,Sandgren T.,4.0,1.0,0.0,0.0,0.0,0.0,0.0
160,Galan D.,0.0,0.0,1.0,0.0,0.0,0.0,0.0
161,Altmaier D.,1.0,0.0,0.0,1.0,0.0,0.0,0.0
162,Polmans M.,0.0,1.0,0.0,0.0,0.0,0.0,0.0
163,Davidovich Fokina A.,2.0,1.0,0.0,0.0,1.0,0.0,0.0
164,Berankis R.,5.0,1.0,1.0,0.0,0.0,0.0,0.0
165,Giron M.,1.0,1.0,1.0,0.0,0.0,0.0,0.0
166,Rublev A.,2.0,0.0,0.0,0.0,2.0,0.0,0.0
167,Balazs A.,1.0,1.0,0.0,0.0,0.0,0.0,0.0
168,Couacaud E.,0.0,1.0,0.0,0.0,0.0,0.0,0.0
169,Andujar P.,4.0,1.0,0.0,0.0,0.0,0.0,0.0
170,Safiullin R.,0.0,1.0,0.0,0.0,0.0,0.0,0.0
171,Van De Zandschulp B.,0.0,1.0,1.0,0.0,0.0,0.0,0.0
172,Mager G.,1.0,1.0,0.0,0.0,0.0,0.0,0.0
173,Medvedev D.,4.0,0.0,0.0,1.0,1.0,0.0,0.0
174,Opelka R.,3.0,0.0,1.0,0.0,0.0,0.0,0.0
175,Alcaraz C.,0.0,0.0,1.0,0.0,1.0,0.0,0.0
176,Majchrzak K.,2.0,1.0,0.0,0.0,0.0,0.0,0.0
177,Musetti L.,1.0,0.0,0.0,1.0,0.0,0.0,0.0
178,Karatsev A.,1.0,1.0,0.0,0.0,0.0,0.0,0.0
179,Duckworth J.,3.0,1.0,0.0,0.0,0.0,0.0,0.0
180,Kwon S.W.,2.0,0.0,1.0,0.0,0.0,0.0,0.0
181,Auger-Aliassime F.,2.0,0.0,0.0,1.0,0.0,0.0,0.0
182,Griekspoor T.,0.0,1.0,0.0,0.0,0.0,0.0,0.0
183,Ugo Carabelli C.,0.0,1.0,0.0,0.0,0.0,0.0,0.0
184,Kubler J.,0.0,1.0,0.0,0.0,0.0,0.0,0.0
185,Zapata Miralles B.,1.0,0.0,0.0,1.0,0.0,0.0,0.0
186,Gojo B.,0.0,1.0,0.0,0.0,0.0,0.0,0.0
187,Baez S.,0.0,1.0,0.0,0.0,0.0,0.0,0.0
188,Nakashima B.,0.0,0.0,1.0,0.0,0.0,0.0,0.0
