Players,1R_W,2R_W,3R_W,4R_W,QF_W,SF_W,F_W
Wang Y.,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rus A.,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Min G.,0.0,0.0,0.0,0.0,0.0,0.0,0.0
King V.,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jakupovic D.,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chiesa D.,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kumkhum L.,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Voegele S.,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ponchet J.,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wallace I.,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wang Yaf.,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zhuk S.,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lapko V.,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lottner A.,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jorovic I.,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Samsonova L.,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Albie A.,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yastremska D.,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zvonareva V.,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gatto-Monticone G.,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zhu L.,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Janicijevic S.,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tatishvili A.,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inglis M.,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Minnen G.,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kalinskaya A.,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stojanovic N.,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zavatska K.,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Korpatsch T.,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ahn K.,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Haas B.,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wang Xiy.,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cocciaretto E.,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gorgodze E.,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sanders S.,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Liang E.S.,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Babel O.,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Niemeier J.,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bucsa C.,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Monnet C.,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wang Xin.,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Galfi D.,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ruse E.G.,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marino R.,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bjorklund M.,0.0,0.0,0.0,0.0,0.0,0.0,0.0
