"",Date,Round,Winner,Loser,WRank,LRank,WPts,LPts,Wsets,Lsets,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,SJW,SJL,MaxW,MaxL,AvgW,AvgL,SetsTotales,LabelWinnerRank,LabelWinnerPoints,LabelWinnerOddsB65,LabelWinnerOddsPS,LabelWinnerOddsMAX,LabelWinnerOddsAvg,WinnerRoundsWon,LoserRoundsWon,LabelWinnerRounds,LabelWinnerRoundsAndOddsAvg
37,24/05/2016,1st Round,Bouchard E.,Siegemund L.,47,37.0,1170,1345.0,2.0,0.0,2.25,1.57,2.25,1.58,2.25,1.62,2.19,1.76,1.17,4.95,2.35,1.76,2.2,1.66,2,0.0,0.0,0,0,0,0,3,2,1,1
38,24/05/2016,1st Round,Cibulkova D.,Zheng S.,25,85.0,1951,790.0,2.0,0.0,1.1,7.0,1.11,5.0,1.12,6.0,1.13,7.21,1.1,6.59,1.13,7.25,1.11,6.47,2,1.0,1.0,1,1,1,1,2,1,1,1
39,24/05/2016,1st Round,Stosur S.,Doi M.,24,42.0,2050,1290.0,2.0,1.0,1.5,2.5,1.45,2.55,1.5,2.62,1.54,2.66,1.38,2.97,1.54,3.0,1.48,2.62,3,1.0,1.0,1,1,1,1,4,0,1,1
40,24/05/2016,1st Round,Bacsinszky T.,Soler-Espinosa S.,9,126.0,3150,483.0,2.0,0.0,1.08,8.0,1.08,6.5,1.06,9.0,1.08,9.95,1.08,7.61,1.1,10.5,1.07,8.48,2,1.0,1.0,1,1,1,1,2,0,1,1
41,24/05/2016,1st Round,Zhang S.,Voskoboeva G.,69,492.0,949,57.0,2.0,0.0,1.4,2.75,1.4,2.75,1.5,2.62,1.5,2.8,10.49,1.05,1.51,2.88,1.44,2.71,2,1.0,1.0,1,1,1,1,5,0,1,1
42,24/05/2016,1st Round,Chirico L.,Davis L.,78,113.0,830,589.0,2.0,1.0,1.33,3.25,1.38,2.8,1.4,3.0,1.46,2.95,1.3,3.49,1.46,3.25,1.39,2.92,3,1.0,1.0,1,1,1,1,1,1,0,1
43,24/05/2016,1st Round,Giorgi C.,Lim A.,44,156.0,1230,365.0,2.0,0.0,1.16,5.0,1.2,4.0,1.17,5.0,1.22,4.85,1.79,2.0,1.22,5.05,1.19,4.61,2,1.0,1.0,1,1,1,1,4,0,1,1
44,24/05/2016,1st Round,Makarova E.,Lepchenko V.,29,64.0,1552,979.0,2.0,1.0,1.4,2.75,1.42,2.65,1.83,1.83,1.58,2.56,1.06,8.75,1.83,2.88,1.52,2.52,3,1.0,1.0,1,1,1,1,3,2,1,1
45,24/05/2016,1st Round,Kasatkina D.,Friedsam A.L.,32,48.0,1538,1160.0,2.0,1.0,1.33,3.25,1.33,2.9,1.4,3.0,1.37,3.39,1.33,3.24,1.4,3.39,1.35,3.15,3,1.0,1.0,1,1,1,1,7,0,1,1
46,24/05/2016,1st Round,Ivanovic A.,Dodin O.,16,148.0,2560,383.0,2.0,1.0,1.16,5.0,1.14,4.75,1.17,5.0,1.21,4.99,1.64,2.22,1.21,5.0,1.18,4.75,3,1.0,1.0,1,1,1,1,1,1,0,1
