Players,1R_L,2R_L,3R_L,4R_L,QF_L,SF_L,F_L
Mchale C.,4.0,1.0,0.0,0.0,0.0,0.0,0.0
Zarazua R.,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Tig P.M.,2.0,0.0,1.0,0.0,0.0,0.0,0.0
Juvan K.,2.0,2.0,0.0,0.0,0.0,0.0,0.0
Fernandez L.A.,0.0,1.0,1.0,0.0,1.0,0.0,0.0
Pliskova Kr.,5.0,1.0,0.0,0.0,0.0,0.0,0.0
Burel C.,2.0,0.0,1.0,0.0,0.0,0.0,0.0
Hibino N.,2.0,2.0,0.0,0.0,0.0,0.0,0.0
Tauson C.,0.0,2.0,0.0,0.0,0.0,0.0,0.0
Rybakina E.,1.0,1.0,1.0,0.0,1.0,0.0,0.0
Bara I.,2.0,0.0,1.0,0.0,0.0,0.0,0.0
Badosa P.,0.0,0.0,1.0,1.0,1.0,0.0,0.0
Kovinic D.,3.0,1.0,1.0,0.0,0.0,0.0,0.0
Tomljanovic A.,4.0,2.0,0.0,0.0,0.0,0.0,0.0
Kalinina A.,0.0,2.0,0.0,0.0,0.0,0.0,0.0
Tan H.,3.0,1.0,0.0,0.0,0.0,0.0,0.0
Zidansek T.,2.0,0.0,1.0,0.0,0.0,1.0,0.0
Baptiste H.,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Gracheva V.,1.0,0.0,2.0,0.0,0.0,0.0,0.0
Zheng S.,4.0,1.0,0.0,0.0,0.0,0.0,0.0
Pegula J.,2.0,0.0,1.0,0.0,1.0,0.0,0.0
Kostyuk M.,2.0,0.0,0.0,1.0,0.0,0.0,0.0
Martincova T.,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Li A.,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Osorio M.,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Haddad Maia B.,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Teichmann J.,1.0,0.0,0.0,1.0,0.0,0.0,0.0
Danilovic O.,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Bouzkova M.,3.0,1.0,0.0,0.0,0.0,0.0,0.0
Zheng Q.,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Saville D.,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Riske A.,5.0,1.0,0.0,0.0,0.0,0.0,0.0
Jacquemot E.,2.0,1.0,0.0,0.0,0.0,0.0,0.0
Jeanjean L.,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Raducanu E.,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Volynets K.,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Sherif M.,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Contreras Gomez F.,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Diatchenko V.,3.0,0.0,0.0,0.0,0.0,0.0,0.0
Gasparyan M.,4.0,0.0,0.0,0.0,0.0,0.0,0.0
Dominguez Lino L.,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Lisicki S.,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Hradecka L.,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Hantuchova D.,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Shvedova Y.,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Zanevska M.,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Gibbs N.,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Jovanovski B.,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Vinci R.,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Broady N.,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Rodionova Ar.,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Schiavone F.,3.0,0.0,0.0,0.0,0.0,0.0,0.0
Andrianjafitrimo T.,3.0,0.0,0.0,0.0,0.0,0.0,0.0
Crawford S.,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Jankovic J.,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Doi M.,6.0,0.0,0.0,0.0,0.0,0.0,0.0
Soler-Espinosa S.,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Voskoboeva G.,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Lim A.,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Friedsam A.L.,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Soylu I.,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Vickery S.,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Allertova D.,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Hesse A.,3.0,0.0,0.0,0.0,0.0,0.0,0.0
Robson L.,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Govortsova O.,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Wozniak A.,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Barthel M.,4.0,0.0,0.0,0.0,0.0,0.0,0.0
Niculescu M.,3.0,0.0,0.0,0.0,0.0,0.0,0.0
Boserup J.,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Erakovic M.,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Rodina E.,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Fourlis J.,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Vikhlyantseva N.,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Lemoine Q.,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Khromacheva I.,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Kato M.,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Duan Y.Y.,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Ozaki R.,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Cepelova J.,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Wang Y.,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Rus A.,4.0,0.0,0.0,0.0,0.0,0.0,0.0
Min G.,1.0,0.0,0.0,0.0,0.0,0.0,0.0
King V.,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Jakupovic D.,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Chiesa D.,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Kumkhum L.,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Voegele S.,3.0,0.0,0.0,0.0,0.0,0.0,0.0
Ponchet J.,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Wallace I.,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Wang Yaf.,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Zhuk S.,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Lapko V.,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Lottner A.,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Jorovic I.,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Samsonova L.,3.0,0.0,0.0,0.0,0.0,0.0,0.0
Albie A.,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Yastremska D.,3.0,0.0,0.0,0.0,0.0,0.0,0.0
Zvonareva V.,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Gatto-Monticone G.,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Zhu L.,3.0,0.0,0.0,0.0,0.0,0.0,0.0
Janicijevic S.,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Tatishvili A.,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Inglis M.,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Minnen G.,3.0,0.0,0.0,0.0,0.0,0.0,0.0
Kalinskaya A.,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Stojanovic N.,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Zavatska K.,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Korpatsch T.,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Ahn K.,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Haas B.,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Wang Xiy.,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Cocciaretto E.,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Gorgodze E.,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Sanders S.,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Liang E.S.,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Babel O.,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Niemeier J.,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Bucsa C.,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Monnet C.,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Wang Xin.,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Galfi D.,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Ruse E.G.,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Marino R.,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Bjorklund M.,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Jani R.L.,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Gasanova A.,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Dart H.,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Bonaventure Y.,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Grammatikopoulou V.,1.0,0.0,0.0,0.0,0.0,0.0,0.0
