Round_num,Winner_Id,Loser_Id,WRank,LRank,WPts,LPts,Wsets,Lsets,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,SJW,SJL,MaxW,MaxL,AvgW,AvgL,SetsTotales,LabelWinnerRank,LabelWinnerPoints,LabelWinnerOddsB65,LabelWinnerOddsPS,LabelWinnerOddsMAX,LabelWinnerOddsAvg,WinnerRoundsWon,LoserRoundsWon,LabelWinnerRounds,LabelWinnerRoundsAndOddsAvg,WinnerRoundsLost,LoserRoundsLost,WinnerRoundsPlayed,LoserRoundsPlayed,LabelWinnerRoundsWonOverAll,LabelLoserRoundsWonOverAll
1,40,124,14,52.0,2825,1083.0,2.0,0.0,1.44,2.75,1.49,2.45,1.5,2.62,1.5,2.76,2.03,1.77,1.56,2.76,1.5,2.62,2,1.0,1.0,1,1,1,1,7,3,1,1,0,2,7,5,1.0,0.6
1,51,185,159,88.0,366,750.0,2.0,1.0,1.9,1.9,1.84,1.86,2.0,1.73,1.94,1.94,1.24,3.93,2.0,1.97,1.91,1.89,3,0.0,0.0,0,0,0,0,1,1,0,0,1,4,2,5,0.5,0.2
1,224,167,74,240.0,814,218.0,2.0,1.0,1.3,3.5,1.28,3.35,1.3,3.5,1.32,3.69,1.49,2.59,1.33,3.75,1.3,3.55,3,1.0,1.0,1,1,1,1,3,1,1,1,2,5,5,6,0.6,0.1667
1,46,229,219,121.0,247,515.0,2.0,0.0,2.37,1.57,2.25,1.57,2.25,1.61,2.38,1.64,1.29,3.53,2.41,1.71,2.32,1.62,2,0.0,0.0,0,0,0,0,1,0,1,1,0,2,1,2,1.0,0.0
1,152,180,107,31.0,646,1446.0,2.0,0.0,2.1,1.72,2.0,1.72,2.1,1.73,2.13,1.79,1.58,2.36,2.15,1.87,2.07,1.77,2,0.0,0.0,0,0,0,0,4,4,0,0,3,3,7,7,0.5714,0.5714
1,259,267,65,64.0,926,930.0,2.0,0.0,1.28,3.75,1.28,3.35,1.28,3.75,1.25,4.36,3.04,1.37,1.32,4.55,1.25,4.03,2,0.0,0.0,1,1,1,1,2,2,0,1,3,3,5,5,0.4,0.4
1,78,246,2,42.0,6935,1200.0,2.0,0.0,1.25,4.0,1.21,3.9,1.25,4.0,1.26,4.29,1.11,6.51,1.3,4.33,1.25,4.04,2,1.0,1.0,1,1,1,1,2,4,0,0,1,1,3,5,0.6667,0.8
1,157,226,71,161.0,844,362.0,2.0,1.0,1.72,2.1,1.73,1.99,1.73,2.1,1.85,2.05,1.48,2.63,1.85,2.32,1.78,2.05,3,1.0,1.0,1,1,1,1,4,0,1,1,0,1,4,1,1.0,0.0
1,64,112,15,358.0,2533,117.0,2.0,0.0,1.57,2.37,1.55,2.31,1.61,2.25,1.55,2.6,1.27,3.64,1.66,2.6,1.58,2.41,2,1.0,1.0,1,1,1,1,2,2,0,1,1,3,3,5,0.6667,0.4
1,15,176,18,100.0,2225,679.0,2.0,0.0,1.36,3.2,1.34,3.0,1.4,3.0,1.4,3.18,1.16,5.15,1.42,3.29,1.38,3.09,2,1.0,1.0,1,1,1,1,2,0,1,1,2,2,4,2,0.5,0.0
1,169,1,39,99.0,1255,687.0,2.0,1.0,2.1,1.72,2.14,1.63,2.2,1.67,2.29,1.69,3.39,1.31,2.31,1.77,2.19,1.69,3,1.0,1.0,0,0,0,0,3,0,1,1,2,3,5,3,0.6,0.0
1,243,158,50,81.0,1120,775.0,2.0,0.0,1.28,3.75,1.22,3.85,1.22,4.33,1.25,4.36,2.2,1.66,1.31,4.8,1.25,4.06,2,1.0,1.0,1,1,1,1,3,1,1,1,4,2,7,3,0.4286,0.3333
1,139,198,6,234.0,5335,229.0,2.0,0.0,1.1,8.0,1.08,6.6,1.07,8.0,1.1,8.33,1.11,6.47,1.11,9.0,1.09,7.8,2,1.0,1.0,1,1,1,1,6,2,1,1,1,2,7,4,0.8571,0.5
1,61,140,80,139.0,776,428.0,2.0,0.0,2.0,1.8,2.02,1.71,2.1,1.73,2.18,1.75,1.48,2.62,2.2,1.83,2.09,1.75,2,1.0,1.0,0,0,0,0,2,1,1,1,3,5,5,6,0.4,0.1667
1,35,209,53,227.0,1078,236.0,2.0,0.0,1.16,5.0,1.17,4.4,1.2,4.5,1.21,5.0,1.07,8.48,1.23,5.2,1.19,4.77,2,1.0,1.0,1,1,1,1,2,0,1,1,1,2,3,2,0.6667,0.0
1,271,30,73,44.0,817,1180.0,2.0,0.0,1.9,1.9,1.8,1.91,1.8,2.0,1.81,2.1,1.44,2.71,1.92,2.1,1.84,1.98,2,0.0,0.0,0,1,1,1,2,3,0,0,3,1,5,4,0.4,0.75
1,257,17,257,61.0,201,951.0,2.0,0.0,3.0,1.4,3.1,1.32,3.0,1.4,3.08,1.42,1.39,2.92,3.42,1.43,3.09,1.37,2,0.0,0.0,0,0,0,0,3,1,1,1,3,2,6,3,0.5,0.3333
1,278,20,202,59.0,273,970.0,2.0,0.0,3.0,1.4,2.75,1.39,3.25,1.36,3.17,1.4,1.19,4.61,3.22,1.45,2.97,1.4,2,0.0,0.0,0,0,0,0,2,3,0,0,1,1,3,4,0.6667,0.75
1,66,73,3,43.0,6010,1193.0,2.0,0.0,1.3,3.5,1.24,3.65,1.3,3.5,1.26,4.25,1.52,2.52,1.33,4.25,1.27,3.81,2,1.0,1.0,1,1,1,1,5,2,1,1,2,4,7,6,0.7143,0.3333
1,47,164,90,105.0,747,647.0,2.0,0.0,1.3,3.5,1.26,3.55,1.28,3.75,1.26,4.21,1.35,3.15,1.34,4.21,1.28,3.71,2,1.0,1.0,1,1,1,1,4,1,1,1,0,2,4,3,1.0,0.3333
1,95,156,25,49.0,1690,1125.0,2.0,1.0,1.53,2.5,1.5,2.41,1.57,2.37,1.54,2.64,1.18,4.75,1.65,2.7,1.54,2.48,3,1.0,1.0,1,1,1,1,2,4,0,0,3,3,5,7,0.4,0.5714
1,281,272,40,77.0,1245,782.0,2.0,1.0,1.53,2.5,1.48,2.47,1.5,2.62,1.53,2.67,1.21,4.46,1.6,2.7,1.51,2.57,3,1.0,1.0,1,1,1,1,5,2,1,1,2,4,7,6,0.7143,0.3333
